S.No,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,w
307,Uttar Pradesh,PRATAPGARH,2014,Kharif     ,Rice,104143,235676,1
308,Bihar,GAYA,2014,Winter     ,Rice,104005,335997,1
309,Karnataka,YADGIR,2014,Kharif     ,Cotton(lint),103866,362752,1
310,Karnataka,BELGAUM,2014,Rabi       ,Jowar,103823,114413,1
311,Maharashtra,AMRAVATI,2014,Kharif     ,Arhar/Tur,103800,36800,1
312,Kerala,MALAPPURAM,2014,Whole Year ,Coconut ,103691,933000000,1
313,Uttarakhand,UDAM SINGH NAGAR,2014,Rabi       ,Total foodgrain,103377,300673,1
314,Bihar,PURBI CHAMPARAN,2014,Autumn     ,Rice,103184,166134,1
315,Odisha,SAMBALPUR,2014,Winter     ,Rice,103000,265000,1
316,Uttar Pradesh,KANPUR NAGAR,2014,Rabi       ,Wheat,102753,155171,1
317,Assam,LAKHIMPUR,2014,Winter     ,Paddy,102605,224011,1
318,Assam,LAKHIMPUR,2014,Winter     ,Rice,102605,224011,2
319,Maharashtra,AHMEDNAGAR,2014,Kharif     ,Cotton(lint),102600,96700,1
320,Uttar Pradesh,CHANDAULI,2014,Kharif     ,Rice,102598,303793,1
321,Bihar,KAIMUR (BHABUA),2014,Winter     ,Rice,102380,281879,1
322,Chhattisgarh,KABIRDHAM,2014,Kharif     ,Rice,102157,138630,1
323,Uttarakhand,UDAM SINGH NAGAR,2014,Kharif     ,Total foodgrain,101728,330581,1
324,Uttarakhand,UDAM SINGH NAGAR,2014,Kharif     ,Rice,101482,330419,2
325,Maharashtra,OSMANABAD,2014,Kharif     ,Arhar/Tur,101000,28600,1
326,Odisha,KHORDHA,2014,Winter     ,Rice,101000,219000,1
327,West Bengal,HOOGHLY,2014,Rabi       ,Potato,100745,3506137,1
328,Telangana ,MAHBUBNAGAR,2014,Kharif     ,Arhar/Tur,100635,45286,1
329,Chhattisgarh,KONDAGAON,2014,Kharif     ,Rice,100383,193520,1
